Judul,Harga,Deskripsi
"Mesin Pirolisis Sampah Plastik Kapasitas 5 Kg CV Asianindo","0","Mesin Pirolisis Plastik adalah alat pengolah limbah plastik menggunakan panas tinggi dalam kondisi minim oksigen untuk mengubah plastik menjadi bahan bakar cair seperti premium, minyak tanah, solar ringan, serta gas yang dapat dimanfaatkan kembali sebagai sumber panas. Teknologi ini menjadi solusi modern untuk mengurangi limbah plastik sekaligus menghasilkan produk bernilai tinggi yang dapat dimanfaatkan untuk kebutuhan industri maupun energi.

Dengan metode pemanasan tertutup, proses pirolisis memecah struktur plastik tanpa pembakaran terbuka, sehingga lebih aman, efisien, dan ramah lingkungan. Mesin ini cocok digunakan untuk pengusaha daur ulang, pengolahan limbah, hingga industri skala kecil dan menengah.

Spesifikasi:
- Kapasitas 5 kg / proses
- Material Stainless Steel 3 mm (kecuali bagian dudukan/jagrak)
- Komponen lengkap: tabung reaktor, kondensor pendingin, pipa penyalur gas, dan bak sirkulasi air
- Reaktor diameter 60 cm, tinggi 180 cm
- Dilengkapi: pressure gauge (Pengatur Suhu otomatis dan manual)
- Fitur Termometer Ruangan Terpasang
- Bahan Bakar : Oli Bekas
- Dilengkapi Safety Valve, Pengukur Tekanan, dan Kran Hasil
- Dilengkapi Penahan panas di sekeliling tabung utama reaktor
- Hasil minyak terbagi 2 : Setara Solar dan Premium
- Dilengkapi Set Kompor 

Cara Kerja Mesin Pirolisis Plastik:
1. Pemanasan
Plastik (jenis PP, PE, dan sejenisnya) dimasukkan ke dalam reaktor, kemudian dipanaskan hingga suhu tinggi sekitar 350–500°C dalam kondisi tanpa oksigen.
2. Penguraian (Thermal Cracking)
Pada suhu tinggi ini, plastik mulai terurai menjadi gas hidrokarbon. Gas tersebut kemudian dialirkan menuju kondensor.
3. Kondensasi & Pemurnian
Gas hasil pirolisis didinginkan dalam kondensor hingga berubah menjadi cairan bahan bakar seperti:
- Minyak pirolisis (setara premium)
- Solar ringan

Sementara residu padat dapat digunakan sebagai carbon black, dan sebagian gas dapat dipakai kembali sebagai bahan bakar pemanas."
"Meja Stainless Dimensi: 120 x 70 x 85 cm Furniture Asianindo","0","Deskripsi Produk:

- Nama Produk: meja stainless
- Dimensi: 120 x 70 x 85 cm"
"Mesin Destilasi Minyak Nilam Atsiri 500 Liter CV Asianindo","0","Mesin destilasi merupakan salah satu mesin yang digunakan sebagai pembuat minyak atsiri. Mesin ini bisa mengolah berbagai jenis dedaunan dengan memakai sistim penguapan. Untuk bahan yang dipakai dalam pembuatan dari minyak atsiri yaitu daun cengkeh, daun kayu putih, daun sirih, daun kayu manis, daun cendana, dan berbagai jenis daun lainnya yang bisa mengeluarkan minyak.

Spesifikasi :
* Kapasitas 500 liter / proses
* Tabung reaktan Stainless Steel 304 Food Grade, 3 mm
* Bahan bakar LPG (bisa dimodifikasi minyak tanah, kayu bakar)

️Keunggulan:
- Hasil minyak atsiri murni dan berkualitas tinggi
- Material stainless steel higienis & tahan lama
- Proses efisien dengan sistem penguapan modern
- Cocok untuk industri minyak atsiri, penelitian, hingga produksi herbal alami

Tingkatkan produktivitas dan kualitas hasil destilasi Anda bersama CV Asianindo – Mesin Hebat, Usaha Kuat!"
"Mesin Press Kemiri Kapasitas Continue 10 - 20 kg Per Proses","0","Mesin Press Kemiri – Kapasitas Kontinu 10–20 Kg/Proses | CV Asianindo

Ingin hasil perasan kemiri lebih maksimal, bersih, dan cepat?
Mesin Press Kemiri CV Asianindo hadir untuk membantu proses produksi minyak kemiri menjadi lebih efisien dan higienis. Cocok untuk usaha minyak herbal, kosmetik, minyak rambut, hingga industri rumahan dan UMKM.

✅ Spesifikasi Mesin
- Kapasitas kerja: 10–20 kg per proses (kontinu)
- Motor dinamo: 3 HP
- Bahan plat: Stainless steel (food grade, mudah dibersihkan)
- Rangka: Besi kuat & kokoh
- Gearbox: WPA ratio 1:60
- Tipe sistem: Screw press (tekanan maksimal, hasil optimal)
- Daya listrik: ± 1200 Watt / 220V

🎯 Cocok Untuk
- Produksi minyak kemiri murni
- Home industry minyak rambut/herbal
- UMKM produksi kosmetik alami
- Produsen bahan baku kecantikan & Kesehatan

Dapatkan mesin berkualitas langsung dari pabrik dan dukungan teknis kami!
Hubungi admin untuk konsultasi dan penawaran terbaik 💬

CV Asianindo — Mesin Hebat, Usaha Kuat"
"Mesin Pirolisis Sampah Plastik Kapasitas 30 Kg CV Asianindo","0","Mesin Pirolisis Plastik adalah alat pengolah limbah plastik menggunakan panas tinggi dalam kondisi minim oksigen untuk mengubah plastik menjadi bahan bakar cair seperti premium, minyak tanah, solar ringan, serta gas yang dapat dimanfaatkan kembali sebagai sumber panas. Teknologi ini menjadi solusi modern untuk mengurangi limbah plastik sekaligus menghasilkan produk bernilai tinggi yang dapat dimanfaatkan untuk kebutuhan industri maupun energi.

Dengan metode pemanasan tertutup, proses pirolisis memecah struktur plastik tanpa pembakaran terbuka, sehingga lebih aman, efisien, dan ramah lingkungan. Mesin ini cocok digunakan untuk pengusaha daur ulang, pengolahan limbah, hingga industri skala kecil dan menengah.

Spesifikasi Mesin:
* Kapasitas 30 kg / proses
* Material Stainless Steel 3 mm (kecuali bagian dudukan/jagrak)
* Komponen lengkap: tabung reaktor, kondensor pendingin, pipa penyalur gas, dan bak sirkulasi air
* Dilengkapi: pressure gauge (Pengatur Suhu otomatis dan manual)
* Fitur Termometer Ruangan Terpasang|
* Bahan Bakar : Oli Bekas
* Dilengkapi Safety Valve, Pengukur Tekanan, dan Kran Hasil
* Dilengkapi Penahan panas di sekeliling tabung utama reaktor
* Hasil minyak terbagi 2 : Setara Solar dan Premium
* Dilengkapi Set Kompor

Cara Kerja Mesin Pirolisis Plastik:
1. Pemanasan
Plastik (jenis PP, PE, dan sejenisnya) dimasukkan ke dalam reaktor, kemudian dipanaskan hingga suhu tinggi sekitar 350–500°C dalam kondisi tanpa oksigen.
2. Penguraian (Thermal Cracking)
Pada suhu tinggi ini, plastik mulai terurai menjadi gas hidrokarbon. Gas tersebut kemudian dialirkan menuju kondensor.
3. Kondensasi & Pemurnian
Gas hasil pirolisis didinginkan dalam kondensor hingga berubah menjadi cairan bahan bakar seperti:
* Minyak pirolisis (setara premium)
* Solar ringan

Sementara residu padat dapat digunakan sebagai carbon black, dan sebagian gas dapat dipakai kembali sebagai bahan bakar pemanas."
"Mesin Power Shreder Pengancur Kayu, Ranting, Batang, dan Benda Keras Lainnya Asianindo","0","Mesin power shreder : 
Mesin power shredder adalah mesin yang dirancang untuk menghancurkan atau mencacah berbagai material menjadi potongan-potongan kecil atau serpihan. Fungsinya bervariasi, mulai dari pengelolaan sampah, penghancuran dokumen, hingga pengolahan material untuk daur ulang atau produksi bahan bakar alternatif. 

Beberapa kelebihan menggunakan mesin shredder adalah:
- Pengurangan volume: 
Material yang dihancurkan akan memiliki volume yang lebih kecil, sehingga lebih mudah ditangani. 
- Memudahkan daur ulang:
Material yang dihancurkan dapat dipisahkan dan diproses ulang dengan lebih mudah. 
- Meningkatkan keamanan:
Dokumen yang dihancurkan tidak dapat dibaca atau digunakan kembali, menjaga kerahasiaan informasi. 
- Alternatif bahan bakar:
Beberapa material yang dihancurkan dapat digunakan sebagai bahan bakar alternatif. "
"Mesin Sangrai Kopi kapasitas 5 kg Asianindo","0","- Ideal untuk Pengolahan Berbagai Bahan -
Mesin sangrai roasting stainless ini sangat berguna untuk mensangrai berbagai macam bahan. Cocok untuk kopi, jahe, pelet, dan beras. Dengan kapasitas 5 kg, mesin ini memungkinkan Anda untuk menghasilkan sangrai dalam jumlah yang cukup besar. Sangrai bahan-bahan ini menjadi pilihan tepat untuk kebutuhan Anda.

- Spesifikasi dan Fungsi - 
Mesin ini dirancang khusus untuk proses sangrai. Terbuat dari material stainless, membuatnya tahan lama dan mudah dibersihkan. Tidak hanya untuk kopi, mesin ini juga cocok untuk jahe, pelet, dan beras. Nikmati kemudahan dalam mengolah bahan dengan mesin sangrai ini."
"Mesin Destilasi Minyak Nilam Atsiri 10 Liter CV Asianindo","0","Mesin destilasi merupakan salah satu mesin yang digunakan sebagai pengolah minyak atsiri. Mesin ini bisa mengolah berbagai jenis dedaunan dengan memakai sistim penguapan. Untuk bahan yang dipakai dalam pembuatan dari minyak atsiri yaitu daun cengkeh, daun kayu putih, daun sirih, daun kayu manis, daun cendana, dan berbagai jenis daun lainnya yang bisa mengeluarkan minyak.    

Spesifikasi :
* Kapasitas 10 kg / proses
* Tabung reaktan Stainless Steel Food Grade, 3 mm
* Bahan bakar LPG (bisa dimodifikasi minyak tanah, kayu bakar)
* Dimensi Tabung : Ø 50 cm keseluruhan 66 cm x 66 cm x 150 cm
* Keranjang Ø 46 cm dengan tinggi 59 cm
* Kondensor Ø 39 cm keseluruhan 58 cm x 58 cm x 126 cm
* Boiler Ø 41 x 90 cm
* Listrik 250 watt"
"Mesin Rotary Dryer Statis 200Kg Pengering Makanan CV Asianindo","0","Mesin Rotary Dryer Dapat digunakan untuk mengeringkan gabah, jagung, kedelai, kopi, cengkeh, kayu manis, jahe, kunyit, lengkuas, kedelai, kerupuk, kunir, kemiri, rempah -rempah lainnya.

Dilengkapi panel otomatis :
- Dapat men-setting suhu sesuai kebutuhan produk yang akan dikeringkan
- Dapat men-setting waktu yang dibutuhkn untuk mengeringkan

Spesifikasi :
- Material bahan tabung plat besi
- Rangka unp 5
- Panjang : 120 cm
- Diameter : 70 cm
- Kapasitas : 200 kg/proses
- Penggerak : motor listrik 1,5 hp atau diesel 7 pk
- Pemanas : Jet Burner / oli bekas
- BBM : Lpg

keterangan lain : 
bisa menyesuaikan bahan material tabung dan rangka sesuai permintaan info lebih lanjut bisa menghubungi admin kami 


BAHAN BAKAR PILIHAN:
1. GAS LPG
2. LISTRIK / ELEMENT"
"Mesin Vacuum Frying 1,5kg TKDN Kemenperin - Paket Usaha Keripik Buah (Free Spinner & Kompor).","0","MESIN VACUUM FRYING

Mesin ini berfungsi untuk : memproduksi kripik atau camilan  jadi, yang berbahan dasar dari buah - buahan atau umbi - umbian. cocok untuk para pengusaha yang ingin membuat usaha keripik buah nya semakin cepat dan mudah, sebelum dikirim k lokasi sebelumnya sudah kami tes dan uji coba mesin tersebut. sehingga tidakmenimbulkan kendala pada saat digunakan oleh konsumen. cara penggunaan sangat mudah, ada dilengkapi buku panduan dan tutorial dari ahli nya. 

nb : free spinner dan kompor. disertai juga buku panduan penggunaan mesin nya.
garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan  pribadi maupun untuk pengadaan di dinas pemerintahan ( Tender )
info lebih lanjut bisa menghubungi  Admin kami 

deskripsi produk :
- Kapasitas 1,5 kg on proses
- Dimensi 90 cm × 80 cm × 58 cm
- Tabung D 30 cm × P 45 cm
- Sistem vacuum : Water jet 1/2 HP
- Daya listrik 600 watt / 220 volt
- Suhu terkontrol otomatis
- Kebutuhan minyak 15 liter
- Pemanas kompor LPG
 
Keterangan :
- Unit mesin 100% Baru
- Garansi servis 1 tahun ( non spare part )

MENGAPA HARUS ASIANINDO?
- SERTIFIKASI TKDN: Diakui Kementrian
- Perindustrian (Kualitas Standar Nasional).
- PAKET KOMPLIT: Harga sudah termasuk Spinner Peniris Minyak & Kompor LPG. Tinggal pakai!
- PENDAMPINGAN AHLI: Takut gak bisa pakai?
- Kami pandu via Video Call sampai hasil keripik Anda renyah & cantik.

Cocok bagi para pemula usaha pembuatan keripik buah ( jeruk, apel, nangka, dll ) dan umbi umbian ( kentang, ubi, singkong, dll )."
"ASIANINDO Mesin Vacuum Frying Kapasitas 5 kg untuk Kripik Buah & Camilan Buku Panduan Gratis Spinner Kompor Garansi 1 Tahun","0","MESIN VACUUM FRYING

Mesin Vacuum Frying ini berfungsi untuk : memproduksi kripik atau camilan  jadi, yang berbahan dasar dari buah - buahan atau umbi - umbian. Mesin Vacuum Frying ini cocok untuk para pengusaha yang ingin membuat usaha keripik buah nya semakin cepat dan mudah, sebelum dikirim ke lokasi Mesin Vacuum Frying sebelumnya sudah kami tes dan uji coba mesin tersebut. sehingga tidak menimbulkan kendala pada saat digunakan oleh konsumen. cara penggunaan Mesin Vacuum Frying sangat mudah, ada dilengkapi buku panduan dan tutorial dari ahli nya. 

nb : Mesin Vacuum Frying free spinner dan kompor. disertai juga buku panduan penggunaan mesin nya.
garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan  pribadi maupun untuk pengadaan di dinas pemerintahan ( Tender )

Deskripsi Produk Mesin Vacuum Frying  :
- Kapasitas 5 kg on proses
- Sistem vacuum : Water jet 2HP
- Daya listrik 900 watt / 220 volt
- Suhu terkontrol otomatis
- Kebutuhan minyak 75 liter
- Pemanas kompor LPG
 
Keterangan :
 
- Unit mesin 100% Baru
- Garansi servis 1 tahun ( non spare   part ).. 

Cocok bagi para pemula usaha pembuatan keripik buah ( jeruk, apel, nangka, dll ) dan umbi umbian ( kentang, ubi, singkong, dll ). "
"Mesin Roasting Kopi Kapasitas 20kg CV Asianindo","0","Spesifikasi :

· Kapasitas 20kg
· Tebal Bahan Drum 3 mm Stainless steel
· Body Mild Steel
· Rangka Pipa Kotak
· Thermo control digital
· Blower Cyclone dan Blower cooling bean/pendingin
· Burner Tungku 3 baris
· Kelengkapan Lampu, Burn, Stik Checker Kopi, Manometer, Selang dan Regulator
- pada saat awal pengoperasian akan dipandu oleh ahlinya dan kami kawal sampai bisa
- garansi mesin 1 tahun ( non sparepart )."
"Mesin Mini Retort Sterilisasi Kapasitas 50 liter Asianindo","0","Retort menggunakan suhu steril komersial 121 derajat dengan tekanan 6-14 psi 

Dimana mesin ini bekerja sesuai dengan Perka BPOM tentang produk  steril komersil makanan olahan dalam kemasan non refrigerator

Awet tanpa pendinginan.

Spesifikasi:
Kapasitas 60 liter/proses
Dimensi: + 50x50x90 cm
Material: Full Stainless Steel
Keranjang Vorporasi Stainless Steel d:3mm
Burner: LPG Stove
Pressure Gauge
Manual Thermo Control
Safety Valve
Emergency Valve
Operational Pressure 14,5 psi
Operational Temperature 100-110 oC"
"Mesin Presto 25kg Asianindo","0","* Kapasitas : 25 kg
* Bahan Stainless Steel
* Dimensi : 46x46x90 cm
* Rangka MS
* Kontrol tekanan
* Safety Valve
* Gratis Kompor LPG"
"Mesin Spray Dryer 10 Liter Asianindo","0","·  Kapasitas 10Liter Bahan/jam
·  Dimensi 185x175x260 cm
·  Ruang Pengering Stainless steel Food Grade
·  Material Rangka Full Stainless Steel
·  Total Daya 15.000 Watt
·  Air Compressor 3HP
·  Heater Elektrik 13.000 Watt
·  Blower 2pcs, 600 Watt
·  Cyclone stainless steel Food Grade
·  1 Buah Tabung Dinding, 1 Buah Pemanas Atas"
"Mesin Vacuum Frying 5kg TKDN Kemenperin - Paket Usaha Keripik Buah (Free Spinner & Kompor).","0","MESIN VACUUM FRYING

Mesin Vacuum Frying ini berfungsi untuk : memproduksi kripik atau camilan  jadi, yang berbahan dasar dari buah - buahan atau umbi - umbian. Mesin Vacuum Frying ini cocok untuk para pengusaha yang ingin membuat usaha keripik buah nya semakin cepat dan mudah, sebelum dikirim ke lokasi Mesin Vacuum Frying sebelumnya sudah kami tes dan uji coba mesin tersebut. sehingga tidak menimbulkan kendala pada saat digunakan oleh konsumen. cara penggunaan Mesin Vacuum Frying sangat mudah, ada dilengkapi buku panduan dan tutorial dari ahli nya. 

nb : Mesin Vacuum Frying free spinner dan kompor. disertai juga buku panduan penggunaan mesin nya.
garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan  pribadi maupun untuk pengadaan di dinas pemerintahan ( Tender )

Deskripsi Produk Mesin Vacuum Frying  :
- Kapasitas 5 kg on proses
- Sistem vacuum : Water jet 2HP
- Daya listrik 900 watt / 220 volt
- Suhu terkontrol otomatis
- Kebutuhan minyak 75 liter
- Pemanas kompor LPG
 
Keterangan :
- Unit mesin 100% Baru
- Garansi servis 1 tahun ( non spare part )

MENGAPA HARUS ASIANINDO?
- SERTIFIKASI TKDN: Diakui Kementrian
- Perindustrian (Kualitas Standar Nasional).
- PAKET KOMPLIT: Harga sudah termasuk Spinner Peniris Minyak & Kompor LPG. Tinggal pakai!
- PENDAMPINGAN AHLI: Takut gak bisa pakai?
- Kami pandu via Video Call sampai hasil keripik Anda renyah & cantik. 

Cocok bagi para pemula usaha pembuatan keripik buah ( jeruk, apel, nangka, dll ) dan umbi umbian ( kentang, ubi, singkong, dll ). "
"Mesin Ekstraktor Kapasitas 100 Liter CV Asianindo","0","mesin ekstrak kapasitas 100 liter per proses , mesin yang berfungsi untuk merubah cair menjadi bubuk / serbuk.
keterangan produk :
- Mengeringkan bahan ekstrak dengan cepat dan efisien
- Mengurangi kadar air dalam ekstrak untuk memperpanjang umur simpan
- Mempertahankan kualitas dan kandungan nutrisi dari bahan ekstrak
- Menghasilkan ekstrak yang kering dan mudah disimpan atau diolah lebih lanjut
- Dilengkapi dengan suhu dan waktu pengeringan yang dapat diatur sesuai kebutuhan
- Desain yang kompak dan mudah dioperasikan.

Spesifikasi ;
* Bahan Full Stainless Steel
* Tabung Double Jacket
* Suhu Terkontrol Otomatis
* Pengaduk otomatis
* free kompor

Nb: sebelum mesin kami kirim sudah kami uji coba ( trial ). jadi tidak ada kendala pada saat tiba di lokasi."
"MESIN PIROLOSIS ( PENGUBAH LIMBAH ORGANIK MENJADI BAHAN BAKAR )","0","<span><span>Mesin pirolisis adalah <span>alat yang menggunakan panas tinggi dalam kondisi minim atau tanpa oksigen untuk mengolah limbah organik atau sampah, mengubahnya menjadi produk lain seperti bahan bakar cair, gas, atau produk kimia</span>. Mesin ini berperan penting dalam pengelolaan sampah, terutama plastik, dan dapat menghasilkan produk yang bernilai tambah. </span></span>
<span><span>Spesifikasi :</span></span>
<ul><li>Bahan full stainless Steel</li><li>Dimensi menyesuaikan permintaan</li><li>Bahan bakar gas, kayu bakar, oli bekas dll</li><li>Di lengkapi safety Valve  </li></ul>
<span><span>Cara Kerja Mesin Pirolisis:</span></span><ol><li><strong><span><span>1. Pemanasan:</span></span></strong></li><li><span><span>Limbah organik atau sampah dimasukkan ke dalam reaktor dan dipanaskan pada suhu tinggi (misalnya, 300-800°C) tanpa adanya oksigen. </span></span></li><li><strong><span>2. Penguraian:</span></strong></li><li><span><span>Proses pirolisis menyebabkan bahan organik terurai menjadi molekul yang lebih kecil, menghasilkan gas, minyak, dan residu padat. </span></span></li><li><strong><span>3. Pemurnian:</span></strong></li><li><span><span>Produk gas dan minyak dapat dipisahkan dan dimurnikan untuk digunakan lebih lanjut, sedangkan residu padat dapat diolah menjadi karbon aktif atau produk lain. </span></span></li></ol>"
"Mesin Granulator Pupuk 20 Kg Asianindo","0","Spesifikasi :

- Penggerak Electric Motor 1 HP + Gear Box
- Material Besi Plat Mild Steel
- Rangka Besi UNP"
"Mesin Evaporator Vacuum 100 liter Listrik Asianindo","0","MESIN EVAPORATOR VACUM

Kegunaan:
Untuk mengurangi kadar air/mengentalkan cairan: minyak, VCO, madu, susu,dll.), metode nya dengan cara kandungan air 
dipanaskan dan diuapkan, kemudian kandungan air tadi 
di keluarkan dengan cara di Vacum.

spesifikasi produk :

* Kapasitas: 100 Liter / Proses
*Bahan Stainless Steel
*Pemanas heater
*Kontrol Suhu Otomatis
*Tabung Double Jacket
* Dimensi Total: 150x80x165 cm
* Rpm : 30 rpm
* Listrik :1300 watt, 220V

garansi 1 tahun ( non sparepart). 
pada saat pengoperasian mesin 
akan dipandu oleh ahlinya.

note :
Toko kami juga menyediakan semua kebutuhan mesin yang anda  butuhkan, baik untuk kebutuhan pribadi  maupun untuk pengadaan di dinas  pemerintahan ( Tender )
info lebih lanjut bisa menghubungi  Admin kami "
"Mesin Pasteurisasi susu 25 Liter CV Asianindo","0","Mesin pasteurisasi digunakan untuk pasteurisasi produk minuman dan produk cair (misalnya : susu segar, sirup, sari buah, dan lain-lain) sebelum dikemas.
Fungsi pasteurisasi ini adalah untuk mensterilkan produk dari bakteri penyebab penyakit pada suhu yang tidak terlalu tinggi, sehingga tidak merusak produk.

Spesifikasi  :

* Kapasitas 25 Liter / proses
* Dimensi 80 cm x 65 cm x 115 cm
* Listrik 200 watt, 220 V
* Kecepatan mixer 140 rpm
* Bahan full stainless steel
* Pemanas  kompor LPG
* Suhu Terkontrol otomatis
* Tabung double jacket (air / minyak)"
"Mesin Roasting Kopi Kapasitas 50kg CV Asianindo","0","Spesifikasi :

· Kapasitas 50kg
· Tebal Bahan Drum 5 mm Stainless steel
· Body Mild Steel
· Rangka Pipa Kotak
· Thermo control digital
· Blower Cyclone dan Blower cooling bean/pendingin
· Burner Tungku 3 baris
· Kelengkapan Lampu, Burn, Stik Checker Kopi, Manometer, Selang dan Regulator

- pada saat awal pengoperasian akan dipandu oleh ahlinya dan kami kawal sampai bisa
- garansi mesin 1 tahun ( non sparepart )."
"Mesin Kristalisasi Gula Semut Asianindo","0","Mesin Kristalisasi Gula Semut

Bahan Body Wajan: Terbuat dari Stainless Steel yang tahan lama dan mudah dibersihkan.
Rangka Besi UNP: Menjamin kekuatan dan daya tahan mesin.
Penggerak Elektromotor 1 HP: Menghasilkan tenaga yang cukup untuk operasional mesin.

Mesin kristalisasi gula semut ini dirancang dengan spesifikasi bahan yang jelas. Body wajan menggunakan Stainless Steel, sementara rangka besi UNP menambah kestabilan. Penggeraknya adalah elektromotor 1 HP, memberikan performa yang diinginkan. Informasi ini penting untuk pemahaman lebih lanjut tentang komponen dan fungsinya. Pastikan untuk mempertimbangkan spesifikasi ini saat membeli."
"Mesin Sangrai Kopi Kapasitas 10 kg Asianindo","0","ASIANINDO Mesin Sangrai Kopi Kapasitas 10 kg

- Ideal untuk Usaha Kecil Menengah -
Mesin Sangrai Kopi ASIANINDO dengan kapasitas 10 kg, dirancang untuk meningkatkan kualitas dan efisiensi proses sangrai biji kopi Anda. Tidak hanya untuk kopi, mesin ini juga andal menyangrai biji-bijian lainnya. Dapatkan hasil sangrai yang optimal dengan mesin ini.

- Fitur Utama:
Kapasitas besar hingga 10 kg.
Cocok untuk berbagai jenis biji.
Meningkatkan kualitas sangrai.

Distributor Resmi: ASIANINDO menawarkan mesin ini untuk memenuhi kebutuhan usaha kecil menengah. Pastikan proses sangrai Anda lebih efisien dan berkualitas dengan mesin ini."
"Mesin Pemarut Cepat Kelapa Asianindo","0","Spesifikasi :

- Bahan  : Stainless Steel"
"Mesin Ekstrak Kapasitas 50liter CV Asianindo","0","mesin ekstrak kapasitas 50liter
pengubah cair menjadi bubuk

keterangan produk :
- Mengeringkan bahan ekstrak dengan cepat dan efisien
- Mengurangi kadar air dalam ekstrak untuk memperpanjang umur simpan
- Mempertahankan kualitas dan kandungan nutrisi dari bahan ekstrak
- Menghasilkan ekstrak yang kering dan mudah disimpan atau diolah lebih lanjut
- Dilengkapi dengan suhu dan waktu pengeringan yang dapat diatur sesuai kebutuhan
- Desain yang simple dan mudah dioperasikan.

Spesifikasi ;
* Bahan Full Stainless Steel
* Tabung Double Jacket
* Suhu Terkontrol Otomatis
* Pengaduk otomatis
* free kompor, selang gas,regulator

Nb: sebelum mesin kami kirim sudah kami uji coba ( trial ). jadi tidak ada kendala pada saat tiba di lokasi.
"
"Meja Stainless Rak 92x70x90 cm Kapasitas 12 Loyang 40x60 cm Asianindo","0","Meja Stainless Rak
-Deskripsi Produk- 
• Meja stainless rak dengan dimensi 92 x 70 x 90 cm. Cocok untuk kebutuhan dapur Anda. Terbuat dari bahan stainless steel yang tahan lama dan mudah dibersihkan. Desainnya memungkinkan penyimpanan 12 loyang ukuran 40 x 60 cm. Ideal untuk memudahkan pengaturan dapur.

• Spesifikasi Lengkap:
Dimensi: 92 x 70 x 90 cm
Bahan: Stainless steel
Kapasitas: 12 loyang
Ukuran loyang: 40 x 60 cm

Pastikan ruang dapur Anda cukup luas untuk menampung meja ini. Dengan kapasitas 12 loyang, meja ini sangat efisien untuk memasak dalam jumlah banyak."
"Mesin Pemisah Cairan (Sentrifugal) Kap.24 liter CV Asianindo","0","Mesin Sentrifugal VCO berfungsi untuk memutar bahan baku santan kelapa secara stabil pada sebuah poros dengan memanfaatkan gaya sentrifugasi untuk memecah emulsi senyawa yang ada di dalamnya, sehingga menghasilkan minyak kelapa murni dengan proses cepat dan praktis. Setelah proses sentrifugal santan ini selesai, minyak pun sudah dapat dihasilkan , hanya perlu disempurnakan untuk perhitungan kadar airnya
 
spesifikasi : 
24L 
Bahan stenless
Dimensi :
 Panjang 100 cm
 lebar 80 cm
 tinggi 190 cm
maximal RPM 1700
Dilengkapi inverter model terbaru
Listrik -+ 1200watt
Di lengkapi dengan timer.
 garansi 6 bulan ( non sparepart )"
"Mesin Paket Presto 20 liter dan Spiner Kapasitas 10 kg Asianindo","0","mesin presto yang berfungsi untuk melunakkan daging sapi, duri ikan, dan tulang ayam,  serta berfungsi juga sebagai pengawet makanan dengan metode High pressure.

spesifikasi produk : 
- Material bahan stainless steel
- Dilengkapi dengan manometer untuk mengukur tekanan
- Safety valve
- Tombol on / off untuk spinner 
- Daya listrik 250 watt untuk spinner
- Pemanas kompor gas untuk Mesin presto nya.
keterangan lain : 
- Garansi 6 bulan free sparepart
- Dipandu oleh ahli nya pada saat penggunaan mesin.
- Melayani kegiatan pengadaan mesin baik dinas maupun pemerintahan.

info lebih lanjut bisa menghubungi Admin kami"
"Mesin Penggiling Mesin Diesel biji kopi, beras, kacang, mesin diesel Asianindo","0","Mesin Giling kopi, padi, jagung, biji (Penepung) 

 # paket komplit # 

spesifikasi :
- Mesin merk DONGHAI / JIANGFA
- Rpm 2600
- Kapasitas penepung 300 kg - 500 kg perjam 
- Kapasitas oli mesin 2,5 liter
- Kapasitas tanki bahan bakar bensin / solar 5,8 liter
- Starting system : engkol putar
- Manual book
- Kunci kunci dan part tersedia
- Garansi 6 bulan 

penggunaan mudah dan dipandu oleh ahli nya"
